Channel			  :,CH1
Frequency			  :,F=39.45Hz
Period 			  :,T=25.35ms
PK-PK				  :,Vpp=984.0mV
Average			  :,V=7.680mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,8.00mV
Time interval		  :,20.00uS

index,CH1_Voltage(mV)
1010,-248.00
1011,-272.00
1012,-288.00
1013,-304.00
1014,-320.00
1015,-336.00
1016,-336.00
1017,-344.00
1018,-336.00
1019,-320.00
1020,-304.00
1021,-272.00
1022,-248.00
1023,-216.00
1024,-184.00
1025,-168.00
1026,-136.00
1027,-112.00
1028,-96.00
1029,-72.00
1030,-72.00
1031,-64.00
1032,-72.00
1033,-72.00
1034,-88.00
1035,-104.00
1036,-128.00
1037,-160.00
1038,-184.00
1039,-216.00
1040,-256.00
1041,-264.00
1042,-288.00
1043,-304.00
1044,-312.00
1045,-320.00
1046,-320.00
1047,-312.00
1048,-304.00
1049,-296.00
1050,-280.00
1051,-248.00
1052,-232.00
1053,-192.00
1054,-168.00
1055,-144.00
1056,-112.00
1057,-96.00
1058,-80.00
1059,-64.00
1060,-56.00
1061,-56.00
1062,-64.00
1063,-72.00
1064,-88.00
1065,-104.00
1066,-136.00
1067,-160.00
1068,-184.00
1069,-208.00
1070,-240.00
1071,-264.00
1072,-280.00
1073,-288.00
1074,-304.00
1075,-304.00
1076,-304.00
1077,-296.00
1078,-280.00
1079,-272.00
1080,-256.00
1081,-232.00
1082,-200.00
1083,-184.00
1084,-152.00
1085,-128.00
1086,-104.00
1087,-80.00
1088,-64.00
1089,-56.00
1090,-56.00
1091,-56.00
1092,-56.00
1093,-72.00
1094,-96.00
1095,-112.00
1096,-136.00
1097,-168.00
1098,-192.00
1099,-224.00
1100,-240.00
1101,-256.00
1102,-272.00
1103,-288.00
1104,-288.00
1105,-288.00
1106,-288.00
1107,-280.00
1108,-272.00
1109,-256.00
1110,-232.00
1111,-200.00
1112,-176.00
1113,-160.00
1114,-128.00
1115,-104.00
1116,-88.00
1117,-64.00
1118,-56.00
1119,-48.00
1120,-48.00
1121,-56.00
1122,-56.00
1123,-80.00
1124,-96.00
1125,-120.00
1126,-136.00
1127,-168.00
1128,-192.00
1129,-208.00
1130,-232.00
1131,-256.00
1132,-264.00
1133,-272.00
1134,-280.00
1135,-280.00
1136,-272.00
1137,-256.00
1138,-248.00
1139,-232.00
1140,-200.00
1141,-184.00
1142,-160.00
1143,-136.00
1144,-112.00
1145,-96.00
1146,-72.00
1147,-56.00
1148,-48.00
1149,-40.00
1150,-40.00
1151,-56.00
1152,-64.00
1153,-80.00
1154,-96.00
1155,-120.00
1156,-144.00
1157,-168.00
1158,-184.00
1159,-208.00
1160,-232.00
1161,-248.00
1162,-256.00
1163,-264.00
1164,-264.00
1165,-264.00
1166,-256.00
1167,-240.00
1168,-232.00
1169,-208.00
1170,-184.00
1171,-160.00
1172,-136.00
1173,-120.00
1174,-96.00
1175,-80.00
1176,-64.00
1177,-48.00
1178,-40.00
1179,-40.00
1180,-40.00
1181,-56.00
1182,-72.00
1183,-80.00
1184,-104.00
1185,-120.00
1186,-144.00
1187,-176.00
1188,-184.00
1189,-216.00
1190,-232.00
1191,-240.00
1192,-248.00
1193,-256.00
1194,-256.00
1195,-248.00
1196,-240.00
1197,-232.00
1198,-208.00
1199,-184.00
1200,-128.00
1201,-104.00
1202,-80.00
1203,-64.00
1204,-56.00
1205,-40.00
1206,-32.00
1207,-40.00
1208,-32.00
1209,-56.00
1210,-72.00
1211,-80.00
1212,-112.00
1213,-128.00
1214,-144.00
1215,-176.00
1216,-184.00
1217,-200.00
1218,-216.00
1219,-232.00
1220,-240.00
1221,-240.00
1222,-240.00
1223,-232.00
1224,-216.00
1225,-200.00
1226,-184.00
1227,-176.00
1228,-152.00
1229,-128.00
1230,-112.00
1231,-88.00
1232,-72.00
1233,-56.00
1234,-40.00
1235,-40.00
1236,-32.00
1237,-32.00
1238,-40.00
1239,-56.00
1240,-72.00
1241,-88.00
1242,-104.00
1243,-128.00
1244,-152.00
1245,-176.00
1246,-184.00
1247,-200.00
1248,-216.00
1249,-224.00
1250,-224.00
1251,-232.00
1252,-224.00
1253,-208.00
1254,-192.00
1255,-184.00
1256,-176.00
1257,-152.00
1258,-136.00
1259,-112.00
1260,-96.00
1261,-72.00
1262,-56.00
1263,-40.00
1264,-48.00
1265,-32.00
1266,-40.00
1267,-40.00
1268,-40.00
1269,-56.00
1270,-80.00
1271,-104.00
1272,-112.00
1273,-128.00
1274,-152.00
1275,-176.00
1276,-184.00
1277,-192.00
1278,-200.00
1279,-208.00
1280,-216.00
1281,-216.00
1282,-208.00
1283,-192.00
1284,-184.00
1285,-168.00
1286,-160.00
1287,-136.00
1288,-112.00
1289,-104.00
1290,-80.00
1291,-64.00
1292,-40.00
1293,-40.00
1294,-40.00
1295,-24.00
1296,-32.00
1297,-32.00
1298,-48.00
1299,-56.00
1300,-80.00
1301,-96.00
1302,-112.00
1303,-128.00
1304,-152.00
1305,-168.00
1306,-184.00
1307,-184.00
1308,-200.00
1309,-200.00
1310,-200.00
1311,-192.00
1312,-184.00
1313,-184.00
1314,-176.00
1315,-160.00
1316,-136.00
1317,-128.00
1318,-112.00
1319,-88.00
1320,-64.00
1321,-48.00
1322,-40.00
1323,-32.00
1324,-24.00
1325,-24.00
1326,-32.00
1327,-32.00
1328,-48.00
1329,-64.00
1330,-80.00
1331,-96.00
1332,-112.00
1333,-136.00
1334,-152.00
1335,-168.00
1336,-176.00
1337,-184.00
1338,-184.00
1339,-192.00
1340,-184.00
1341,-184.00
1342,-184.00
1343,-176.00
1344,-160.00
1345,-144.00
1346,-120.00
1347,-104.00
1348,-96.00
1349,-72.00
1350,-48.00
1351,-40.00
1352,-32.00
1353,-32.00
1354,-24.00
1355,-24.00
1356,-40.00
1357,-32.00
1358,-56.00
1359,-64.00
1360,-88.00
1361,-96.00
1362,-120.00
1363,-136.00
1364,-152.00
1365,-160.00
1366,-176.00
1367,-184.00
1368,-184.00
1369,-184.00
1370,-184.00
1371,-184.00
1372,-176.00
1373,-160.00
1374,-144.00
1375,-128.00
1376,-112.00
1377,-96.00
1378,-80.00
1379,-64.00
1380,-40.00
1381,-32.00
1382,-24.00
1383,-16.00
1384,-16.00
1385,-32.00
1386,-32.00
1387,-40.00
1388,-56.00
1389,-72.00
1390,-88.00
1391,-112.00
1392,-128.00
1393,-128.00
1394,-144.00
1395,-160.00
1396,-176.00
1397,-176.00
1398,-176.00
1399,-176.00
1400,-176.00
1401,-168.00
1402,-152.00
1403,-144.00
1404,-128.00
1405,-112.00
1406,-104.00
1407,-80.00
1408,-64.00
1409,-56.00
1410,-32.00
1411,-24.00
1412,-16.00
1413,-16.00
1414,-24.00
1415,-24.00
1416,-32.00
1417,-40.00
1418,-64.00
1419,-72.00
1420,-88.00
1421,-104.00
1422,-120.00
1423,-136.00
1424,-136.00
1425,-160.00
1426,480.00
1427,496.00
1428,504.00
1429,488.00
1430,472.00
1431,456.00
1432,440.00
1433,392.00
1434,352.00
1435,312.00
1436,272.00
1437,224.00
1438,192.00
1439,152.00
1440,120.00
1441,104.00
1442,88.00
1443,96.00
1444,96.00
1445,104.00
1446,136.00
1447,168.00
1448,200.00
1449,240.00
1450,288.00
1451,328.00
1452,368.00
1453,400.00
1454,432.00
1455,456.00
1456,472.00
1457,472.00
1458,472.00
1459,464.00
1460,456.00
1461,432.00
1462,392.00
1463,360.00
1464,320.00
1465,280.00
1466,240.00
1467,184.00
1468,168.00
1469,136.00
1470,104.00
1471,104.00
1472,88.00
1473,96.00
1474,96.00
1475,120.00
1476,136.00
1477,176.00
1478,208.00
1479,256.00
1480,288.00
1481,328.00
1482,360.00
1483,400.00
1484,432.00
1485,448.00
1486,456.00
1487,456.00
1488,456.00
1489,424.00
1490,424.00
1491,400.00
1492,360.00
1493,328.00
1494,272.00
1495,248.00
1496,216.00
1497,176.00
1498,136.00
1499,120.00
1500,96.00
1501,88.00
1502,88.00
1503,88.00
1504,104.00
1505,128.00
1506,152.00
1507,176.00
1508,224.00
1509,256.00
1510,288.00
1511,328.00
1512,360.00
1513,400.00
1514,416.00
1515,432.00
1516,440.00
1517,440.00
1518,440.00
1519,416.00
1520,392.00
1521,360.00
1522,336.00
1523,296.00
1524,264.00
1525,224.00
1526,184.00
1527,152.00
1528,120.00
1529,104.00
1530,88.00
1531,88.00
1532,88.00
1533,88.00
1534,104.00
1535,120.00
1536,160.00
1537,192.00
1538,216.00
1539,256.00
1540,296.00
1541,336.00
1542,360.00
1543,384.00
1544,400.00
1545,408.00
1546,416.00
1547,416.00
1548,400.00
1549,384.00
1550,360.00
1551,336.00
1552,304.00
1553,272.00
1554,216.00
1555,176.00
1556,168.00
1557,128.00
1558,112.00
1559,96.00
1560,88.00
1561,80.00
1562,88.00
1563,88.00
1564,104.00
1565,136.00
1566,168.00
1567,200.00
1568,224.00
1569,264.00
1570,296.00
1571,328.00
1572,352.00
1573,376.00
1574,392.00
1575,400.00
1576,400.00
1577,392.00
1578,376.00
1579,360.00
1580,336.00
1581,296.00
1582,272.00
1583,240.00
1584,200.00
1585,168.00
1586,144.00
1587,104.00
1588,96.00
1589,88.00
1590,80.00
1591,80.00
1592,88.00
1593,88.00
1594,112.00
1595,144.00
